customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
cust_10000,Male,0,Yes,No,42,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,80.55,3353.26,No
cust_10001,Female,1,Yes,Yes,68,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),86.33,5990.67,No
cust_10002,Male,0,No,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),32.69,2032.53,No
cust_10003,Male,0,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),32.72,2310.58,No
cust_10004,Male,0,Yes,No,64,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,108.95,6995.55,No
cust_10005,Female,1,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,28.54,1863.7,No
cust_10006,Male,0,Yes,No,53,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.75,4343.54,No
cust_10007,Male,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),82.04,2863.81,No
cust_10008,Male,0,No,No,70,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,112.13,8014.06,No
cust_10009,Female,0,No,No,14,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,97.04,1386.27,No
cust_10010,Male,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,104.97,1791.19,No
cust_10011,Male,0,No,No,3,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),80.17,240.52,No
cust_10012,Male,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),107.12,1058.04,No
cust_10013,Male,0,No,No,5,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),64.86,325.48,No
cust_10014,Female,0,Yes,No,50,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),57.31,2878.33,No
cust_10015,Male,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),39.79,2232.69,Yes
cust_10016,Female,0,No,Yes,59,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),85.72,5149.96,No
cust_10017,Female,0,No,No,17,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,54.19,912.25,No
cust_10018,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,104.06,6972.65,Yes
cust_10019,Male,0,Yes,Yes,16,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),71.56,1178.48,No
cust_10020,Female,1,No,No,33,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,112.65,3827.96,Yes
cust_10021,Male,0,No,Yes,29,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),61.23,1814.38,No
cust_10022,Female,0,Yes,No,18,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,71.68,1317.87,No
cust_10023,Female,1,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.24,164.89,No
cust_10024,Female,0,No,No,39,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,78.91,3113.91,No
cust_10025,Female,0,No,No,43,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,57.29,2416.76,No
cust_10026,Female,0,No,Yes,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,93.9,5318.1,No
cust_10027,Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,94.29,2272.75,Yes
cust_10028,Female,0,No,Yes,70,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,112.95,7990.28,No
cust_10029,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,93.26,4820.59,No
cust_10030,Male,0,Yes,No,47,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),51.89,2504.49,Yes
cust_10031,Male,0,Yes,Yes,70,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,70.39,4853.71,No
cust_10032,Female,0,No,No,52,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.54,4637.92,Yes
cust_10033,Female,0,Yes,Yes,48,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,66.33,3254.3,No
cust_10034,Female,0,No,No,42,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),108.73,4569.1,No
cust_10035,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,107.15,1875.0,Yes
cust_10036,Female,1,No,No,65,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,88.11,5622.66,No
cust_10037,Male,0,Yes,No,33,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),61.26,2029.47,No
cust_10038,Male,1,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,38.29,2728.09,No
cust_10039,Male,0,Yes,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),33.39,1768.54,No
cust_10040,Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,92.45,0.0,No
cust_10041,Male,0,No,Yes,54,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,96.49,5208.91,No
cust_10042,Female,0,No,No,14,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,111.95,1564.02,Yes
cust_10043,Female,0,Yes,Yes,14,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,47.08,646.31,No
cust_10044,Female,0,Yes,Yes,22,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,94.35,2031.65,No
cust_10045,Female,0,No,No,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.52,1652.0,No
cust_10046,Female,1,Yes,No,45,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),109.24,4830.15,Yes
cust_10047,Male,0,No,No,8,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),81.38,647.15,No
cust_10048,Female,0,Yes,No,65,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,76.3,4979.01,Yes
cust_10049,Female,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,101.71,6457.45,No
cust_10050,Male,0,No,No,17,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,74.14,1237.43,No
cust_10051,Female,0,No,Yes,16,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,101.36,1656.51,No
cust_10052,Male,0,No,No,71,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,77.0,5510.78,No
cust_10053,Female,1,Yes,No,33,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),53.83,1802.48,No
cust_10054,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),96.62,6565.68,No
cust_10055,Female,0,Yes,No,63,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),88.73,5653.34,Yes
cust_10056,Female,0,No,No,43,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,108.33,4639.55,No
cust_10057,Male,0,Yes,No,28,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,74.85,2049.22,Yes
cust_10058,Male,0,Yes,No,61,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),47.85,2907.87,No
cust_10059,Male,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.59,356.53,No
cust_10060,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,88.39,4441.06,No
cust_10061,Male,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),96.22,97.4,No
cust_10062,Male,0,No,Yes,60,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),61.04,3581.87,No
cust_10063,Male,0,No,Yes,3,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,56.01,165.33,Yes
cust_10064,Male,0,No,No,51,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,84.63,4374.5,No
cust_10065,Female,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,29.62,1165.95,No
cust_10066,Female,0,No,No,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.25,1143.54,No
cust_10067,Male,1,No,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.85,845.82,No
cust_10068,Female,1,No,No,25,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,76.94,1890.3,No
cust_10069,Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.02,520.68,No
cust_10070,Female,0,No,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.52,1207.19,No
cust_10071,Female,0,Yes,No,47,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,55.4,2618.14,No
cust_10072,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,105.8,1028.62,No
cust_10073,Female,1,No,Yes,7,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),89.42,614.5,No
cust_10074,Male,0,Yes,Yes,11,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,54.08,606.31,No
cust_10075,Female,1,No,Yes,44,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,94.01,4130.94,No
